scenarioID,year,avgBM_0,avgBM_1,avgBM_2,avgBM_3,avgBM_4,avgBM_5,avgTD_0,avgTD_1,avgTD_2,avgTD_3,avgTD_4,avgTD_5,avgEI_0,avgEI_1,avgEI_2,avgEI_3,avgEI_4,avgEI_5,avgSSG_0,avgSSG_1,avgSSG_2,avgSSG_3,avgSSG_4,avgSSG_5,friBM,friTD,friEI,friSSG,count_0,count_1,count_2,count_3,count_4,count_5,gMentor0,gMentor1,gMentor3,annualRetireeCount,annualHireCount,crisisState
4,2027.01,3.8327188499157576,4.6895297226268315,4.8213225615367605,4.373173105289734,4.804759909444021,4.668701227801397,3.7703412733949597,4.755928121070318,4.823896177582956,4.507200956566093,4.791067540797422,4.690335368169173,3.4984577901153364,4.736705081162672,3.656990664796808,4.785439420320332,3.4000715923649705,3.1583144213052603,4.05714124526457,4.658492355745713,4.932180917556056,4.398279437979026,4.93395277213251,4.844989982472681,0.9099053627760252,0.8364668769716088,0.8442902208201892,0.9482649842271293,3025,550,233,3652,63,402,0.38570774163994503,0.6467065868263473,0.5210329029571013,0,0,0
4,2028.01,3.7361242057903046,4.242554012246074,4.851757095777207,4.224262044431369,4.835963370153465,4.703062337311001,3.679752293787964,4.431559755479723,4.851687477762277,4.425573203479129,4.822557822072535,4.719807988930677,3.3130009077676457,4.497187427337199,3.6825542632015726,4.681262635149726,3.4346445869674356,3.177838146605818,3.9407182106656484,4.154158201169806,4.952283723292203,4.17822451665262,4.951477422070333,4.868976382363111,0.8796610169491526,0.8625988700564972,0.8016949152542373,0.9212429378531073,3294,741,218,4167,59,371,0.32769044740024184,0.3954802259887006,0.41350067842605154,301,0,0
4,2029.01,3.729588639139972,4.1770710054760105,4.867867826637995,4.209174706769947,4.872061491490353,4.724801588238675,3.671541246456995,4.394448751647302,4.868203617707716,4.436074363444598,4.859668016022413,4.741124646816304,3.2671473805749027,4.492057322991588,3.684524941487294,4.6831144384059815,3.487086362799118,3.2041891304827446,3.924353550660505,4.079352576569034,4.957348006971875,4.13658271411524,4.967453660948875,4.875695349248038,0.872099478183635,0.8725435772177196,0.7926057510824914,0.9138447873875875,3333,798,206,4272,57,341,0.3106567046795124,0.3411764705882353,0.3816300129366106,293,15,0
4,2030.01,3.7366472247323332,4.140028113324125,4.890038996011592,4.21148772392906,4.8673145204436175,4.738193251421128,3.675531960892155,4.3802801596980965,4.88840168188945,4.456449188949084,4.851843398535282,4.756101167174472,3.2376497253544088,4.501544202403375,3.6874549103853567,4.697295703697981,3.467888287782027,3.233754217059326,3.924035373593407,4.031569030040706,4.9592960890300075,4.1170513489269895,4.951779731322786,4.882002129030963,0.8815176392278677,0.8808520079875749,0.7864433104060351,0.9230086532061238,3298,846,188,4314,53,315,0.2974036191974823,0.29754601226993865,0.36045411542100286,320,15,0
4,2031.01,3.7364563319850967,4.103569349317522,4.922370864443336,4.208323406420587,4.90789896048563,4.715412107789131,3.6732965401171582,4.365241534181814,4.9170039459354875,4.470578221639831,4.896859954412674,4.733737455610363,3.2023636842488825,4.510521864362123,3.7240042992411344,4.706064646476306,3.5286095903585,3.2120872288266957,3.915291366357343,3.9870285625001327,4.971827798424462,4.090605347428667,4.96818201692546,4.86426612686709,0.8946105171285185,0.8892646737944577,0.7777656556840498,0.934540693868645,3311,911,176,4425,51,292,0.28134674922600617,0.26880222841225626,0.334841628959276,257,16,0
4,2032.01,3.7512595136742846,4.074757563314754,4.941059607025527,4.209082140901589,4.925866493346044,4.714036768359845,3.6858917041739803,4.355221168101907,4.935873222932151,4.486514178664682,4.913222086819152,4.719308011406084,3.1744888870324943,4.522513491474175,3.722102866370256,4.7175209760977665,3.532523998145457,3.164449832673174,3.922372976152947,3.9516040886380854,4.975689491780095,4.068025182913843,4.975262997640375,4.861606664419884,0.8948167425721102,0.8968770331815225,0.7728258512253308,0.9334200824116243,3293,957,164,4503,47,258,0.2699575780948708,0.23963730569948186,0.3101542042478906,298,13,0
4,2033.01,3.7881525025343588,4.115931139649953,4.951545195108717,4.253265226409497,4.909108777972293,4.7138947285549255,3.718838437635467,4.400877459967321,4.950996309553857,4.531948987622951,4.895434351192018,4.716354636824493,3.186169985349221,4.582599895286872,3.726568781198376,4.7623972748625665,3.5294574349001278,3.1622757482189368,3.956778808535145,3.9916172843395676,4.979014990592366,4.101639655273639,4.942656409309841,4.863156551923825,0.9052032157213041,0.8998436802143814,0.7752344796784278,0.9419383653416704,3159,946,154,4421,45,231,0.2681653954235247,0.23016905071521457,0.3056704075605434,259,15,0
4,2034.01,3.8235549396293678,4.1405689861487245,4.9680861114218065,4.289077246107702,4.897697530217525,4.720038694819755,3.7486393509589035,4.432170214394265,4.9670567725091415,4.571694039262388,4.885609889994051,4.716917575493603,3.195823290383047,4.6267041546773955,3.7485093635434295,4.802382204279835,3.5357491612366476,3.14973210693868,3.9885551933336556,4.012414437712243,4.986334973550218,4.125925193877453,4.9121040898859745,4.8628734228971116,0.9156501726121979,0.9020713463751439,0.7737629459148446,0.9529344073647871,3053,928,146,4308,43,212,0.2626137303556658,0.21465968586387435,0.29759036144578316,259,13,0
4,2035.01,3.85733459395272,4.1632974913427265,4.965547156101749,4.321215187502493,4.8676738464851645,4.68896088143819,3.7776816072000092,4.460791827553475,4.963300918368722,4.603536142659068,4.853401528539679,4.6805488574322816,3.2030020900781326,4.676539729278513,3.6774800125622686,4.8345023305780055,3.4943398969151818,3.1106667345907772,4.019437642150631,4.032579125459314,4.985877084640614,4.145125221812954,4.873807366445954,4.838475987457476,0.925,0.9046428571428572,0.7714285714285715,0.9635714285714285,2939,912,135,4191,38,185,0.25491033304867633,0.1968503937007874,0.2883492161082078,284,13,0
4,2036.01,3.8979173842398067,4.184189906608662,4.9512976565095155,4.344513295652156,4.837142851660517,4.66864823572548,3.8130760324291226,4.485646890785127,4.949196884502801,4.61934006789916,4.812502927436992,4.655258203285959,3.2029937146370586,4.721217628038614,3.6355064790330736,4.854479020231539,3.276630580903453,3.0912793235838896,4.054897606264822,4.050127626624261,4.971979323907805,4.153257761390077,4.855332376099028,4.817596537946412,0.926302729528536,0.9071960297766749,0.7679900744416873,0.9650124069478908,2800,900,121,4044,31,164,0.25335720680393914,0.18110236220472442,0.27490542244640603,338,14,0
